,SMILES,MIC,METAB,MO24,DP24,SM24,NC24,MORT,YSE,AXIS,EYE,SNOU,JAW,OTIC,PE,BRAI,SOMI,PFIN,CFIN,PIG,CIRC,TRUN,SWIM,NC,TR,MOV21,AUC21,LEL_MORT,LEL_YSE,LEL_AXIS,LEL_EYE,LEL_SNOU,LEL_JAW,LEL_OTIC,LEL_PE,LEL_BRAI,LEL_SOMI,LEL_PFIN,LEL_CFIN,LEL_PIG,LEL_CIRC,LEL_TRUN,LEL_SWIM,LEL_NC,LEL_TR,18_END_LEC,MOR_LEC,SUBLETH_17_END_LEC,TOX_SCO
4741,OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,
4742,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,ACT,INACT,INACT,INACT,ACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,ACT,
4743,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,
4744,ONC(=O)C1(CCCC1)N(CCC(O)=O)S(=O)(=O)C1=CC=C(OC2=CC=C(F)C=C2)C=C1,,,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,
4745,ONC(=O)C1(CCOCC1)NS(=O)(=O)C1=CC=C(OC2=CC=C(F)C=C2)C=C1,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,
4746,OP(O)(=O)CCCl,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT
4747,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,INACT,INACT,INACT,INACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,ACT,ACT,ACT
4748,O[C@@H]1[C@@H](CC2=CC=C(C=C2)C2=CC=CC=C2)COC2=C1C=CC(=C2)C1(CCCC1)C(O)=O,,,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,INACT,
4749,O[C@@H]1[C@@H](COC2=CC(O)=CC=C12)N1CCC(O)(CC1)C1=CC=C(F)C=C1,,,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,ACT,INACT,INACT,ACT,INACT,ACT,INACT,INACT,ACT,INACT,INACT,ACT,INACT,ACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,
4750,O[C@@H]1[C@H](CC2=CC=CC(=C2)C(O)=O)COC2=C1C=C(OCC1=NC3=C(S1)C=CC(F)=C3)C=C2,,,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,INACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,INACT,ACT,ACT,ACT,INACT,ACT,ACT,INACT,ACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,ACT,
4751,O[C@H]([C@@H](O)C(O)=O)C(O)=O,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,
4752,O[C@H]([C@H](CC1=CC=CC=C1)NC(=O)C1=CC2=CC(Cl)=CC=C2N1)C(=O)N1C[C@H](O)[C@H](O)C1,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,ACT,
4753,O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,,,INACT,ACT,INACT,INACT,ACT,ACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,ACT,ACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,INACT,ACT
4754,S=C1NCCN1,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,INACT,ACT
4755,SC1=NC2=C(S1)C=CC=C2,,,INACT,INACT,INACT,INACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,INACT,ACT,INACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,INACT,ACT,INACT,ACT,ACT,ACT,ACT,ACT,
